VIN000001,2018,Toyota,Camry
VIN000002,2020,Honda,Civic
VIN000003,2017,Ford,Escape
VIN000004,2019,Chevrolet,Malibu
VIN000005,2016,Nissan,Altima
VIN000006,2021,Hyundai,Elantra
VIN000007,2015,Kia,Sorento
VIN000008,2022,Subaru,Outback
VIN000009,2021,Nissan,Altima
VIN000010,2016,Hyundai,Elantra
VIN000011,2022,Kia,Sportage
VIN000012,2015,Subaru,Outback
VIN000013,2019,Volkswagen,Passat
VIN000014,2018,Mazda,CX-5
VIN000015,2020,Tesla,Model 3
VIN000016,2017,BMW,3 Series
VIN000017,2016,Mercedes-Benz,C-Class
VIN000018,2021,Audi,A4
VIN000019,2019,Lexus,ES
VIN000020,2018,Jeep,Grand Cherokee
VIN000021,2020,Dodge,Charger
VIN000022,2017,Chevrolet,Equinox
VIN000023,2022,Ford,Bronco
VIN000024,2019,Toyota,RAV4
VIN000025,2018,Honda,Accord
VIN000026,2021,Ford,F-150
VIN000027,2017,Hyundai,Tucson
VIN000028,2020,Kia,Sorento
VIN000029,2016,Nissan,Rogue
VIN000030,1994,Nissan,Frontier
VIN000031,1993,Ford,Explorer
